artist,lyrics,song_name,artist_key,url,words count,unique words count
זוהר ארגוב,"['רעיה', 'רציתי', 'שתהיי', 'אם', 'אוהבת', 'בלילה', 'תהיי', 'לי', 'מאהבת', 'כמו', 'פעם', 'תבעירי', 'בי', 'אש', 'של', 'אהבה', 'רעיה', 'למה', 'סתם', 'בלי', 'סיבה', 'את', 'כועסת', 'במשפט', 'מבט', 'את', 'הורסת', 'לכולם', 'את', 'הטעם', 'הטוב', 'שבחיים', 'רעיה', 'הן', 'רק', 'אתמול', 'עוד', 'אהבנו', 'ביחד', 'הכל', 'בנינו', 'לשנינו', 'עוד', 'פרחי', 'אהבתנו', 'כה', 'כסופים', 'הם', 'כה', 'רכים', 'הם', 'יפים', 'רעיה', 'מחיינו', 'הסתיו', 'הרחיקי', 'השכימי', 'בחיוך', 'לי', 'השיבי', 'כמו', 'פעם', 'אהבה', 'רעיה', 'את', 'לפתע', 'עוצמת', 'עינייך', 'לא', 'שוקלת', 'שנית', 'מילותייך', 'מתפרצת', 'אחר', 'מתחרטת', 'אך', 'מאוחר', 'רעיה', 'עוד', 'גועש', 'בי', 'אוני', 'כמו', 'נער', 'אל', 'גנך', 'הוא', 'עורג', 'פיתחי', 'שער', 'אמצי', 'אל', 'חיקך', 'את', 'ראשי', 'התפייסי', 'רעיה', 'הן', 'רק', 'אתמול', 'עוד', 'אהבנו']",רעיה,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=31596,102,76
זוהר ארגוב,"['פעם', 'פעם', 'רק', 'הפעם', 'חכי', 'נא', 'לי', 'שוב', 'פעם', 'פעם', 'רק', 'עוד', 'פעם', 'חכי', 'נא', 'לי', 'כי', 'אשוב', 'יעלת', 'חן', 'בואי', 'נא', 'לי', 'בואי', 'בואי', 'תוך', 'אהולי', 'רפאי', 'נא', 'את', 'מחלי', 'יפתי', 'תמתי', 'יונתי', 'חכי', 'נא', 'לי', 'כי', 'אשוב', 'ארכו', 'לי', 'נדודי', 'מתי', 'אראך', 'שוב', 'מתי', 'יחדיו', 'לנצח', 'מתי', 'יפתי', 'תמתי', 'יונתי', 'חכי', 'נא', 'לי', 'כי', 'אשוב', 'דלה', 'דלית', 'דלייך', 'כעדר', 'עזים', 'שערך', 'צמרתם', 'כקמותך', 'רעייתי', 'יונתי', 'תמת', 'חכי', 'נא', 'לי', 'כי', 'אשוב']",פעם פעם,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=19038,73,37
זוהר ארגוב,"['עת', 'יעלה', 'ירח', 'אצעד', 'בכרם', 'לבדי', 'אולי', 'יבוא', 'אלי', 'דודי', 'אמרי', 'יונה', 'תמה', 'ספרי', 'לי', 'בדממה', 'האם', 'ליבה', 'של', 'כל', 'עלמה', 'הינו', 'שושן', 'פורח', 'גלה', 'נא', 'לי', 'כוכבי', 'לבל', 'ידע', 'אבי', 'האם', 'ינוח', 'לבבי', 'עת', 'יעלה', 'ירח', 'מתוך', 'צעיף', 'הטל', 'דודי', 'אלי', 'יגל', 'פניו', 'יראו', 'פני', 'עיניו', 'יראו', 'עיני', 'הבט', 'אלי', 'ירח', 'לך', 'לחשתי', 'את', 'סודי', 'הלילה', 'בא', 'אלי', 'דודי', 'דודי', 'יבוא', 'מיד', 'יישלח', 'אלי', 'היד', 'בין', 'שבילים', 'נצעד', 'לאורך', 'הפורח', 'נלך', 'עד', 'סוף', 'העולם', 'שם', 'הפרחים', 'כולם', 'ישירו', 'לנו', 'בקולם', 'לאור', 'כוכב', 'זורח', 'מתוך', 'צעיף', 'הטל', 'דודי', 'אלי', 'יגל', 'פניו', 'יראו', 'פני', 'עיניו', 'יראו', 'עיני']",עת יעלה ירח,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=14621,96,69
זוהר ארגוב,"['כה', 'עצוב', 'יושב', 'אני', 'מדמה', 'בזיכרוני', 'האם', 'מחר', 'את', 'תשובי', 'להיות', 'נערתי', 'אסיר', 'הנני', 'בידייך', 'הלב', 'חולה', 'בלעדיך', 'בחושך', 'לוחש', 'את', 'שמך', 'מול', 'עיני', 'דמותך', 'נזכר', 'אני', 'במבטך', 'איך', 'זה', 'לחיות', 'בקירבתך', 'לנשק', 'רק', 'את', 'ידייך', 'להרגיש', 'את', 'חום', 'ליבך', 'מעל', 'ראשי', 'חגה', 'יונה', 'מלמלת', 'בשפתה', 'מדוע', 'היא', 'לא', 'איתך', 'אולי', 'עודנה', 'מחכה', 'שובי', 'אלי', 'אהובתי', 'ראשך', 'הניחי', 'על', 'כתפי', 'לך', 'אלחש', 'אהבתי', 'אני', 'שלך', 'את', 'שלי', 'נזכר', 'אני', 'במבטך']",עצוב יושב,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=8300,70,61
זוהר ארגוב,"['הזמר', 'יזמר', 'שירי', 'עצבת', 'שירי', 'ארצו', 'הקטנה', 'הנאהבת', 'עוד', 'יום', 'יבוא', 'נשתה', 'יחדיו', 'לחיים', 'בעיר', 'ציון', 'היפה', 'ירושלים', 'היה', 'זה', 'בערב', 'בערב', 'סגריר']",עוד יום יבוא,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=23721,23,21
זוהר ארגוב,"['ליד', 'החוף', 'אצעד', 'בדד', 'לחן', 'לי', 'בלב', 'בליל', 'חלום', 'אלך', 'לבד', 'אין', 'רחש', 'מתקרב', 'רק', 'המיה', 'רכה', 'של', 'גל', 'נשמעת', 'בין', 'סלעים', 'ממרום', 'כוכבי', 'העל', 'רומזים', 'לי', 'קורצים', 'שוב', 'אביט', 'אל', 'סלע', 'קט', 'במים', 'השקופים', 'אלחש', 'קלות', 'גם', 'ליד', 'אקח', 'את', 'הצדפים', 'הן', 'רק', 'אי', 'שם', 'האור', 'קורא', 'קורא', 'ממרחקים', 'אני', 'בים', 'ספינה', 'רואה', 'תפליג', 'אל', 'הימים', 'לו', 'רק', 'עלמה', 'היתה', 'לי', 'כאן', 'הכל', 'היה', 'נעים', 'אך', 'מה', 'לעשות', 'חלף', 'הזמן', 'סיימתי', 'מילואים', 'חבל', 'שכה', 'מהר', 'אלך', 'אחזור', 'לי', 'אל', 'העיר', 'החוף', 'רגלי', 'לא', 'ילחך', 'יסתיים', 'השיר']",סיימתי מילואים,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=2388,87,76
זוהר ארגוב,"['רגלי', 'פוסעות', 'בכרם', 'באהבת', 'תימן', 'חיי', 'שזורים', 'בכרם', 'כמו', 'שביסי', 'זהב', 'ממול', 'הים', 'קורע', 'ממול', 'בתים', 'שוקעים', 'שירת', 'תימן', 'עולה', 'על', 'כנפי', 'הנשרים', 'שחר', 'עולה', 'בכרם', 'באהבת', 'ימי', 'נפשי', 'הומה', 'בכרם', 'למה', 'לא', 'אשאל', 'שפתי', 'נושקות', 'בכרם', 'בתפילת', 'הזמן', 'אימי', 'שמרה', 'בכרם', 'את', 'סודות', 'לידת', 'חיי', 'צלילים', 'שוקעים', 'בכרם', 'באהבת', 'תימן', 'קולות', 'הומים', 'בכרם', 'בכיסופי', 'עבר', 'הסימטאות', 'חולמות', 'על', 'שבילי', 'זהב', 'שירת', 'תימן', 'נוגעת', 'בתוך', 'המיית', 'מזרח']",בכרם התימנים,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=653,67,48
זוהר ארגוב,"['לאושרי', 'אין', 'אח', 'רע', 'ליבי', 'הולך', 'בא', 'בגני', 'יסמין', 'פורח', 'עם', 'ניחוח', 'אהבה', 'כשעוברת', 'היא', 'בדרך', 'כמו', 'דבורים', 'כולם', 'עטים', 'שמה', 'יסמין', 'כשם', 'של', 'פרח', 'השם', 'כל', 'כך', 'מתאים', 'יסמין', 'שלי', 'יסמין', 'כמו', 'פרח', 'שנפתח', 'יסמין', 'שלי', 'יסמין', 'אני', 'אוהב', 'אותך', 'שערה', 'שחור', 'כליל', 'חיוכה', 'מאיר', 'פנים', 'דבש', 'ניגר', 'מהשפתיים', 'לחייה', 'שושנים', 'השקדים', 'שבעיניה', 'הסרטים', 'שבצמות', 'מבטה', 'כמו', 'חץ', 'קולע', 'בליבי', 'עושה', 'שמות', 'יסמין', 'שלי', 'יסמין', 'מאלף', 'מחזריה', 'לבבה', 'רק', 'לי', 'ניתן', 'לכן', 'ליבי', 'זורח', 'מקדיש', 'לה', 'שיר', 'קטן', 'לאושרי', 'אין', 'אח', 'רע', 'ליבי', 'הולך', 'בא', 'בגני', 'יסמין', 'פורח', 'עם', 'ניחוח', 'אהבה']",יסמין,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=1608,92,66
זוהר ארגוב,"['שקט', 'שלווה', 'ים', 'של', 'חולות', 'הרים', 'שבאופק', 'נושקים', 'לשמיים', 'שיירת', 'גמלים', 'פוסעת', 'לאט', 'חמור', 'מנמנם', 'זז', 'אל', 'הצד', 'בדואי', 'זקן', 'יורד', 'מן', 'ההר', 'מביט', 'הוא', 'למעלה', 'מחפש', 'עננים', 'הולך', 'הוא', 'לבאר', 'מתבונן', 'סביב', 'סביב', 'אומר', 'לעצמו', 'זו', 'ברכת', 'אלוקים', 'שקט', 'שלווה', 'ים', 'של', 'חולות', 'הרים', 'שבאופק', 'נושקים', 'לשמיים', 'מפנה', 'הוא', 'גבו', 'צועד', 'אל', 'ההר', 'שקט', 'שלווה', 'ים', 'של', 'חולות', 'אוהל', 'בודד', 'ילדים', 'בבלויים', 'בכי', 'תינוק', 'פעיות', 'הכבשים', 'נערה', 'מכופפת', 'סוחבת', 'עצים', 'נראית', 'כזקנה', 'חרושת', 'קמטים', 'ריח', 'כבשים', 'ילדים', 'שבוכים', 'פנים', 'עצובים', 'שמיים', 'קודרים', 'בדואי', 'זקן', 'יורד', 'מן', 'ההר', 'מביט', 'הוא', 'למעלה', 'מחפש', 'עננים']",בדואי זקן,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=550,93,63
זוהר ארגוב,"['רק', 'אותך', 'אוהב', 'הלילה', 'דימדומים', 'מנגינות', 'המתנה', 'שלי', 'הלילה', 'בלי', 'אותן', 'האכזבות', 'רק', 'אותך', 'רוצה', 'הלילה', 'אין', 'לי', 'כלום', 'גם', 'לא', 'מילים', 'אני', 'חולם', 'חושב', 'עלייך', 'את', 'כמו', 'מיליון', 'שירים', 'כה', 'זרה', 'את', 'לי', 'למה', 'הלכת', 'עם', 'מישהו', 'אחר', 'לפעמים', 'אני', 'חושב', 'איך', 'לאהוב', 'אותך', 'הלילה', 'מה', 'לי', 'לילה', 'מה', 'לי', 'יום', 'מה', 'לי', 'לילה', 'רק', 'איתך', 'אפרוט', 'הלילה', 'עם', 'מיתר', 'נשמה', 'רק', 'אותך', 'אוהב', 'הלילה', 'עם', 'הצללים', 'הדממה', 'כה', 'יפה', 'את', 'לי', 'למה', 'הלכת', 'לי', 'לעולם', 'אחר', 'לפעמים', 'אני', 'חושב', 'מה', 'לעשות', 'לבד', 'כל', 'לילה', 'אין', 'לי', 'לילה', 'אין', 'לי', 'יום', 'אין', 'לי', 'לילה', 'רק', 'אותך', 'אוהב', 'הלילה', 'דמדומים', 'מחשבות', 'המנגינה', 'שלי', 'הלילה', 'כמו', 'אותן', 'האכזבות', 'רק', 'אותך', 'רוצה', 'הלילה', 'אין', 'לי', 'כלום', 'גם', 'לא', 'שירים', 'אני', 'חושב', 'חולם', 'עלייך', 'את', 'כמו', 'מיליון', 'צללים', 'כה', 'רכה', 'את', 'לי', 'למה', 'הפכת', 'למשהו', 'אחר', 'לפעמים', 'אני', 'חושב', 'איך', 'לאהוב', 'אותך', 'כל', 'הלילה', 'את', 'לי', 'לילה', 'את', 'לי', 'יום', 'את', 'לי', 'לילה', 'רק', 'אותך', 'רוצה', 'הלילה']",את  לי לילה,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=38473,154,57
